accidentes,fecha
2428,2017-01-01
2372,2017-02-01
2323,2017-03-01
2374,2017-04-01
2433,2017-05-01
2392,2017-06-01
2471,2017-07-01
2326,2017-08-01
2413,2017-09-01
2432,2017-10-01
2327,2017-11-01
2676,2017-12-01
2061,2018-01-01
1974,2018-02-01
2129,2018-03-01
2130,2018-04-01
2077,2018-05-01
2089,2018-06-01
2167,2018-07-01
2120,2018-08-01
2140,2018-09-01
2240,2018-10-01
2054,2018-11-01
2349,2018-12-01
1903,2019-01-01
1926,2019-02-01
2072,2019-03-01
2003,2019-04-01
2010,2019-05-01
2102,2019-06-01
2095,2019-07-01
2151,2019-08-01
2101,2019-09-01
1796,2019-10-01
2089,2019-11-01
2347,2019-12-01
1903,2020-01-01
1936,2020-02-01
1086,2020-03-01
520,2020-04-01
875,2020-05-01
1165,2020-06-01
1136,2020-07-01
1399,2020-08-01
1468,2020-09-01
1837,2020-10-01
1725,2020-11-01
1922,2020-12-01
1763,2021-01-01
1577,2021-02-01
1691,2021-03-01
1429,2021-04-01
1488,2021-05-01
1780,2021-06-01
1828,2021-07-01
1916,2021-08-01
1921,2021-09-01
2048,2021-10-01
1896,2021-11-01
2015,2021-12-01
1739,2022-01-01
1672,2022-02-01
1727,2022-03-01
1905,2022-04-01
1855,2022-05-01
1694,2022-06-01
2013,2022-07-01
1783,2022-08-01
1822,2022-09-01
1885,2022-10-01
1647,2022-11-01
1997,2022-12-01
1729,2023-01-01
1698,2023-02-01
1564,2023-03-01
1556,2023-04-01
1694,2023-05-01
1745,2023-06-01
1855,2023-07-01
1773,2023-08-01
1839,2023-09-01
1804,2023-10-01
1770,2023-11-01
1966,2023-12-01
1382,2024-01-01
1654,2024-02-01
1831,2024-03-01
1667,2024-04-01
